m,y,p,c,u,lat,lng,t
908,1860,"Alessandria","IT","463",44.88333,8.75,"H5"
32000,1860,"Dhurmsala","IN","7640",32.23333,76.46666999999999,"LL6"
450,1860,"Kheragur","IN","12294",26.95,77.88333,"L6"
29000,1861,"Butsura","IN","5183",27.08333,84.08333,"H6"
5,1860,"Kusiali","IN","12382",29.68333,78.38333,"L6"
3500,1861,"Grosnaja","RU","11206",43.66667,45.38333,"CV3"
22,1861,"Meerut","IN","15469",29.01667,77.8,"H5"
945,1861,"Cañellas","ES","5251",41.25,1.66667,"H4"
180,1862,"Sevilla","ES","23508",37.41667,-6,"LL4"
10500,1862,"Menow","DE","15485",53.18333,13.15,"H4"
23250,1863,"Pillistfer","EE","18822",58.66667,25.73333,"EL6"
14500,1863,"Tourinnes-la-Grosse","BE","24038",50.78333,4.76667,"L6"
5000,1863,"Buschhof","RO","5178",46.45,25.78333,"L6"
1700,1863,"Manbhoom","IN","15402",23.05,86.7,"LL6"
3200,1863,"Shytal","BD","23584",24.33333,90.16667,"L6"
560,1863,"Pulsora","IN","18899",23.36667,75.18333,"H5"
14000,1864,"Orgueil","FR","18026",43.88333,1.38333,"CI1"
10250,1864,"Nerft","LV","16945",56.5,21.5,"L6"
1600,1864,"Dolgovoli","UA","7659",50.75,25.3,"L6"
50000,1865,"Aumale","DZ","4899",36.16667,3.66667,"L6"
7235,1865,"Supuhee","IN","23760",26.71667,84.21666999999999,"H6"
5000,1865,"Shergotty","IN","23530",24.55,84.83333,"Martian (shergottite)"
4400,1865,"Muddoor","IN","16841",12.63333,77.01667000000001,"L5"
2270,1865,"Dundrum","IE","7745",52.55,-8.033329999999999,"H5"
1500,1865,"Vernon County","US","24168",43.5,-91.16667,"H6"
500000,1866,"Knyahinya","SK","12335",48.9,22.4,"L/LL5"
1600,1865,"Gopalpur","BD","10948",24.23333,89.05,"H6"
34000,1866,"Cangas de Onis","ES","5252",43.38333,-5.15,"H5"
17100,1866,"Sone","JP","23667",35.16667,135.33333,"H5"
8300,1866,"St. Mesmin","FR","23092",48.45,3.93333,"LL6"
3600,1866,"Udipi","IN","24104",13.48333,74.78333000000001,"H5"
350,1866,"Pokhra","IN","18858",26.71667,82.66667,"H5"
22,1866,"Jamkheir","IN","12072",18.75,75.33333,"H6"
9000,1867,"Tadjera","DZ","23778",36.18333,5.41667,"L5"
6510,1867,"Otomi","JP","18045",38.4,140.35,"H"
100,1867,"Khetri","IN","12296",28.01667,75.81667,"H6"
250000,1868,"Pultusk","PL","18901",52.76667,21.26667,"H5"
6000,1868,"Ornans","FR","18030",47.11667,6.15,"CO3.4"
9150,1868,"Motta di Conti","IT","16762",45.2,8.5,"H4"
4000,1868,"Sauguis","FR","23188",43.15,-0.85,"L6"
2000,1868,"Danville","US","5514",34.4,-87.06667,"L6"
1708,1868,"Slavetic","HR","23626",45.68333,15.6,"H5"
1500,1868,"Moti-ka-nagla","IN","16759",26.83333,77.33333,"H6"
650,1868,"Frankfort (stone)","US","10177",34.48333,-87.83333,"Howardite"
1064,1868,"Daniel's Kuil","ZA","5513",-28.2,24.56667,"EL6"
1000,1868,"Lodran","PK","14675",29.53333,71.8,"Lodranite"
96,1868,"Pnompehn","KH","18851",11.58333,104.91667,"L6"
80000,1869,"Kernouve","FR","12284",48.11667,-3.08333,"H6"
20000,1869,"Hessle","SE","11878",59.85,17.66667,"H5"
20000,1869,"Tjabe","ID","24011",-7.08333,111.53333,"H6"
16500,1869,"Krähenberg","DE","12353",49.32694,7.46472,"LL5"
1500,1869,"Angra dos Reis (stone)","BR","2302",-22.96667,-44.31667,"Angrite"
340,1869,"Lumpkin","US","14753",32.03333,-84.76667000000001,"L6"
25000,1870,"Cabezo de Mayo","ES","5185",37.98333,-1.16667,"L/LL6"
4500,1870,"Nedagolla","IN","16935",18.68333,83.48333,"Iron, ungrouped"
2000,1870,"Ibbenbüren","DE","11992",52.28333,7.7,"Diogenite"
11500,1871,"Bandong","ID","4935",-6.91667,107.6,"LL6"
5400,1871,"Searsmont","US","23472",44.36667,-69.2,"H5"
3833,1871,"Laborel","FR","12408",44.28333,5.58333,"H5"
400,1871,"Roda","ES","22641",42.3,0.55,"Diogenite"
51700,1872,"Lancé","FR","12455",47.7,1.06667,"CO3.5"
28500,1872,"Tennasilm","EE","23898",58.03333,26.95,"L4"
3400,1872,"Orvinio","IT","18034",42.13333,12.93333,"H6"
300,1872,"Dyalpur","IN","7757",26.25,82,"Ureilite"
13600,1873,"Khairpur","PK","12288",29.53333,72.3,"EL6"
5900,1873,"Jhung","PK","12085",31.3,72.38333,"L5"
3600,1873,"Virba","BG","24185",43.53333,22.63333,"L6"
3200,1873,"Aleppo","SY","462",36.23333,37.13333,"L6"
400,1873,"Santa Barbara","BR","23161",-29.2,-51.86667,"L4"
101000,1874,"Sevrukovo","RU","23509",50.61667,36.6,"L5"
7300,1874,"Castalia","US","5291",36.08333,-78.06667,"H5"
5000,1874,"Kerilis","FR","12282",48.4,-3.3,"H5"
230000,1875,"Homestead","US","11901",41.8,-91.86667,"L5"
1600,1875,"Sitathali","IN","23616",20.91667,82.58333,"H5"
1300,1875,"Mornans","FR","16747",44.6,5.13333,"H5"
380,1875,"Feid Chair","DZ","10080",36.88333,8.449999999999999,"H4"
20,1875,"Nagaria","IN","16892",26.98333,78.21666999999999,"Eucrite-cm"
34000,1876,"Ställdalen","SE","23712",59.93333,14.95,"H5"
3500,1876,"Rowton","GB","22773",52.76667,-2.51667,"Iron, IIIAB"
1932,1876,"Vavilovka","UA","24154",46.15,32.83333,"LL6"
680,1876,"Judesegeri","IN","12207",12.85,76.8,"H6"
340,1876,"Rochester","US","22637",41.08333,-86.28333000000001,"H6"
80000,1877,"Soko-Banja","RS","23661",43.66667,21.86667,"LL4"
6000,1877,"Cynthiana","US","5500",38.4,-84.25,"L/LL4"
3650,1877,"Cronstad","ZA","5474",-27.7,27.3,"H5"
