place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Cacak,Valid,OC,212,Fell,1919,5187,43.838890,20.333330
Cali,Valid,H/L4,478,Fell,2007,45976,3.405000,-76.510000
Calivo,Valid,Stone-uncl,2400,Fell,1916,5200,11.750000,122.333330
Campos Sales,Valid,L5,23680,Fell,1991,5249,-7.033330,-40.166670
Çanakkale,Valid,L6,4000,Fell,1964,5250,39.800000,26.600000
Cañellas,Valid,H4,945,Fell,1861,5251,41.250000,1.666670
Cangas de Onis,Valid,H5,34000,Fell,1866,5252,43.383330,-5.150000
Canon City,Valid,H6,1400,Fell,1973,5253,38.470280,-105.241390
Cape Girardeau,Valid,H6,2300,Fell,1846,5260,37.266670,-89.583330
Capilla del Monte,Valid,H6,750,Fell,1934,5264,-30.883330,-64.550000
Carancas,Valid,H4-5,342,Fell,2007,45817,-16.664440,-69.043890
Caratash,Valid,LL6,8,Fell,1902,5265,38.500000,27.000000
Castalia,Valid,H5,7300,Fell,1874,5291,36.083330,-78.066670
Castel Berardenga,Valid,Stone-uncl,,Fell,1791,5292,43.350000,11.500000
Castine,Valid,L6,94,Fell,1848,5293,44.383330,-68.750000
Castrovillari,Valid,Stone-uncl,15000,Fell,1583,5295,39.800000,16.200000
Caswell County,Valid,OC,1360,Fell,1810,5296,36.500000,-79.250000
Ceniceros,Valid,L3.7,1025,Fell,1988,5306,26.466670,-105.233330
Centerville,Valid,H5,45.6,Fell,1956,5307,43.200000,-96.916670
Cereseto,Valid,H5,6460,Fell,1840,5308,45.083330,8.300000
Chadong,Valid,L6,3700,Fell,1998,5313,28.533330,109.316670
Chail,Valid,H6,0.5,Fell,1814,5314,25.366670,81.666670
Chainpur,Valid,LL3.4,8200,Fell,1907,5315,25.850000,83.483330
Chajari,Valid,L5,18300,Fell,1933,5316,-30.783330,-58.050000
Chandakapur,Valid,L5,8800,Fell,1838,5320,20.266670,76.016670
Chandpur,Valid,L6,1100,Fell,1885,5321,27.283330,79.050000
Changde,Valid,H5,1810,Fell,1977,5322,29.083330,111.750000
Chantonnay,Valid,L6,31500,Fell,1812,5325,46.683330,1.050000
Charlotte,Valid,"Iron, IVA",4300,Fell,1835,5328,36.166670,-87.333330
Charsonville,Valid,H6,27000,Fell,1810,5329,47.933330,1.566670
Charwallas,Valid,H6,12000,Fell,1834,5330,29.483330,75.500000
Chassigny,Valid,Martian (chassignite),4000,Fell,1815,5331,47.716670,5.366670
Château-Renard,Valid,L6,30000,Fell,1841,5332,47.933330,2.916670
Chaves,Valid,Howardite,2945,Fell,1925,5334,41.933330,-7.466670
Chela,Valid,H4,2936,Fell,1988,5338,-3.666670,32.500000
Chelyabinsk,Valid,LL5,100000,Fell,2013,57165,54.816670,61.116670
Chergach ,Valid,H5,100000,Fell,2007,47347,23.696390,-5.014720
Chernyi Bor,Valid,H4,6000,Fell,1964,5339,53.700000,30.100000
Cherokee Springs,Valid,LL6,8400,Fell,1933,5340,35.033330,-81.883330
Chervettaz,Valid,L5,705,Fell,1901,5341,46.550000,6.816670
Chervony Kut,Valid,Eucrite-mmict,1700,Fell,1939,5342,50.833330,34.000000
Chetrinahatti,Valid,Stone-uncl,72,Fell,1880,5344,14.500000,76.500000
Chiang Khan,Valid,H6,367,Fell,1981,5345,17.900000,101.633330
